URL,Status









https://www.thisisbeacon.com/,200
https://www.thisisbeacon.com/how-it-works/,200
https://www.thisisbeacon.com/case-studies/beacon-blocks-google-facebook-fake-clicks-otty/,200
https://www.thisisbeacon.com/case-studies/chatter-communications/,200
https://www.thisisbeacon.com/,200
https://www.thisisbeacon.com/how-it-works/,200
https://www.thisisbeacon.com/case-studies-index/,200
https://www.thisisbeacon.com/case-studies/beacon-blocks-google-facebook-fake-clicks-otty/,200
https://www.thisisbeacon.com/case-studies/recognition-creative/,200
https://www.thisisbeacon.com/case-studies/chatter-communications/,200
https://www.thisisbeacon.com/protect-paid-social/,200
https://www.thisisbeacon.com/case-studies/social-ppc-tool/,200
https://www.thisisbeacon.com/case-studies/island-jay-case-study/,200
https://www.thisisbeacon.com/protect-ppc/,200
https://www.thisisbeacon.com/case-studies/chatter-communications/,200
https://www.thisisbeacon.com/case-studies/island-jay-case-study/,200
https://www.thisisbeacon.com/protect-ppc/,200
